time,data
10377856,3.31312
10378853,3.390375
10380039,3.603000
10381224,3.692063
10382410,3.650438
10383595,3.485625
10384780,3.237562
10385966,2.986875
10387151,2.587125
10388337,2.166938
10389522,1.792688
10390708,1.540125
10391893,1.405500
10393079,1.472625
10394264,1.690875
10395450,1.988250
10396635,2.341875
10397821,2.750250
10399006,3.138750
10400192,3.436500
10401377,3.628688
10402563,3.764625
10403748,3.682312
10404934,3.475875
10406119,3.164250
10407305,2.784750
10408490,2.344312
10409675,1.965937
10410861,1.704937
10412046,1.539937
10413232,1.487813
10414417,1.563750
10415603,1.763625
10416788,2.52562
10417974,2.431313
10419159,2.924062
10420345,3.301125
10421530,3.556500
10422716,3.682875
10423901,3.666938
10425087,3.508125
10426272,3.302250
10427457,3.57188
10428643,2.716312
10429828,2.313000
10431014,1.934250
10432199,1.641937
10433385,1.484437
10434570,1.476000
10435756,1.669312
10436941,1.907438
10438127,2.213438
10439312,2.567437
10440498,2.950125
10441683,3.255563
10442869,3.505125
10444054,3.672750
10445240,3.678750
10446425,3.536625
10447610,3.284063
10448796,2.959312
10449981,2.571750
10451167,2.170875
10452352,1.889812
10453538,1.657313
10454723,1.529438
10455909,1.522500
10457094,1.647375
10458280,1.864875
10459465,2.215125
10460651,2.673563
10461836,3.105000
10463022,3.425625
10464207,3.622125
10465392,3.686813
10466578,3.623625
10467763,3.451688
10468949,3.251437
10470134,2.927250
10471320,2.519625
10472505,2.93062
10473691,1.735500
10474876,1.480312
10476062,1.409813
10477247,1.521562
10478433,1.744125
10479618,2.31188
10480804,2.390250
10481989,2.801438
10483175,3.178500
10484360,3.470813
10485545,3.698437
10486731,3.760688
10487916,3.653813
10489102,3.413813
10490287,3.99563
10491473,2.696063
10492658,2.288063
10493844,1.947188
10495029,1.694250
10496215,1.524750
10497400,1.486125
10498586,1.584750
10499771,1.793063
10500957,2.101313
10502142,2.541375
10503328,2.992875
10504513,3.342188
10505698,3.566062
10506884,3.672563
10508070,3.621938
10509255,3.484125
10510440,3.294188
10511626,3.32063
10512811,2.657438
10513997,2.250750
10515182,1.878563
10516368,1.606313
10517553,1.473188
10518739,1.530938
10519924,1.714875
10521110,1.945125
10522295,2.241188
10523481,2.611875
10524666,2.978625
10525851,3.298125
10527037,3.555938
10528223,3.705000
10529408,3.662625
10530593,3.494437
10531779,3.243750
10532964,2.900438
10534150,2.512687
10535335,2.155500
10536521,1.873688
10537706,1.626562
10538892,1.495875
10540077,1.520437
10541263,1.652812
10542448,1.908375
10543634,2.293875
10544819,2.762063
10546004,3.151500
10547190,3.453000
10548375,3.634313
10549561,3.680625
10550746,3.603000
10551932,3.453000
10553117,3.236813
10554303,2.861250
10555488,2.430375
10556674,2.16187
10557859,1.667438
10559045,1.455938
10560230,1.432500
10561416,1.575938
10562601,1.776188
10563787,2.69625
10564972,2.448750
10566157,2.854312
10567343,3.226125
10568528,3.530250
10569714,3.748500
10570899,3.735750
10572085,3.600188
10573270,3.359812
10574456,3.26250
10575641,2.628750
10576827,2.251312
10578012,1.940625
10579198,1.659562
10580383,1.503188
10581569,1.487062
10582754,1.602000
10583939,1.824375
10585125,2.175563
10586310,2.646750
10587496,3.25125
10588681,3.360375
10589867,3.576000
10591052,3.648000
10592238,3.592313
10593423,3.477750
10594609,3.295125
10595794,2.978812
10596980,2.595187
10598165,2.193938
10599351,1.825875
10600536,1.573500
10601722,1.483312
10602907,1.595625
10604093,1.722937
10605278,1.961437
10606463,2.284312
10607649,2.645062
10608834,3.10688
10610020,3.363000
10611205,3.623063
10612391,3.703875
10613576,3.640125
10614762,3.463500
10615947,3.190687
10617133,2.841750
10618318,2.466187
10619504,2.160375
10620689,1.809375
10621875,1.579687
10623060,1.476938
10624245,1.514250
10625431,1.660313
10626616,1.978125
10627802,2.398125
10628987,2.823937
10630173,3.201375
10631358,3.487125
10632544,3.648562
10633729,3.672188
10634915,3.595313
10636100,3.483000
10637286,3.164438
10638471,2.782500
10639657,2.350125
10640842,1.938750
10642028,1.603688
10643213,1.458187
10644398,1.480875
10645584,1.599375
10646769,1.811063
10647955,2.119125
10649140,2.501063
10650326,2.906625
10651511,3.282750
10652697,3.628500
10653882,3.738563
10655068,3.711937
10656253,3.559500
10657439,3.301125
10658624,2.943750
10659810,2.590125
10660995,2.234250
10662181,1.891125
10663366,1.622437
10664551,1.494375
10665737,1.496625
10666922,1.624688
10668108,1.877250
10669293,2.302875
10670479,2.687438
10671664,3.72750
10672850,3.376875
10674035,3.579188
10675221,3.615375
10676406,3.593063
10677592,3.486375
10678777,3.255750
10679963,2.917875
10681148,2.528063
10682334,2.126437
10683519,1.772812
10684705,1.554750
10685890,1.550250
10687075,1.591500
10688261,1.742625
10689446,1.989938
10690632,2.313563
10691817,2.673938
10693003,3.81750
10694188,3.442875
10695374,3.651750
10696559,3.696938
10697745,3.620812
10698930,3.425437
10700116,3.133312
10701301,2.787375
10702487,2.475000
10703672,2.84063
10704858,1.757625
10706043,1.531125
10707228,1.461187
10708414,1.498500
10709599,1.712438
10710785,2.71125
10711970,2.471812
10713156,2.880750
10714341,3.247875
10715527,3.519187
10716712,3.652688
10717898,3.667687
10719083,3.636750
10720269,3.421313
10721454,3.99000
10722640,2.704500
10723825,2.269500
10725010,1.848562
10726196,1.579313
10727381,1.489313
10728567,1.500375
10729752,1.618125
10730938,1.845937
10732123,2.174813
10733309,2.556375
10734494,2.969250
10735680,3.392062
10736865,3.640125
10738051,3.733125
10739236,3.683438
10740422,3.507188
10741607,3.216750
10742792,2.896312
10743978,2.567625
10745164,2.195437
10746349,1.840875
10747534,1.592813
10748720,1.483875
10749905,1.500375
10751091,1.654312
10752276,1.984500
10753462,2.350125
10754647,2.741437
10755833,3.105375
10757018,3.405375
10758204,3.555750
10759389,3.622125
10760575,3.612750
10761760,3.474563
10762946,3.204375
10764131,2.854312
10765317,2.462438
10766502,2.54250
10767688,1.729688
10768873,1.589625
10770058,1.548750
10771244,1.601063
10772429,1.755000
10773615,2.16937
10774800,2.336812
10775986,2.740688
10777171,3.173813
10778357,3.503250
10779542,3.668813
10780728,3.686625
10781913,3.588562
10783099,3.378375
10784284,3.86437
10785470,2.783625
10786655,2.421375
10787840,2.18250
10789026,1.689750
10790211,1.498312
10791397,1.425563
10792582,1.520250
10793768,1.782562
10794953,2.146500
10796139,2.530875
10797324,2.932312
10798510,3.294563
10799695,3.539625
10800881,3.664125
10802066,3.710063
10803252,3.627187
10804437,3.370500
10805623,3.20250
10806808,2.621250
10807994,2.178937
10809179,1.798313
10810365,1.575938
10811550,1.499812
10812735,1.509000
10813921,1.638563
10815106,1.888687
10816292,2.221313
10817477,2.619188
10818663,3.69375
10819848,3.457500
10821034,3.657000
10822219,3.708000
10823405,3.644063
10824590,3.447937
10825776,3.171000
10826961,2.862562
10828147,2.534437
10829332,2.136750
10830517,1.786875
10831703,1.566938
10832888,1.468688
10834074,1.514812
10835259,1.722000
10836445,2.62500
10837630,2.394000
10838816,2.774250
10840001,3.145688
10841187,3.408562
10842372,3.566813
10843558,3.641625
10844743,3.628125
10845929,3.439875
10847114,3.154688
10848300,2.800313
10849485,2.396250
10850670,1.998563
10851856,1.719750
10853041,1.608000
10854227,1.532438
10855412,1.593000
10856598,1.773750
10857783,2.33250
10858969,2.384438
10860154,2.826000
10861340,3.264000
10862525,3.537000
10863711,3.672000
10864896,3.683813
10866082,3.561938
10867267,3.337312
10868453,3.58312
10869638,2.770125
10870824,2.341125
10872009,1.942688
10873194,1.637812
10874380,1.458000
10875565,1.417875
10876751,1.568437
10877936,1.866938
10879122,2.196375
10880307,2.579250
10881493,2.982938
10882678,3.327938
10883864,3.561563
10885049,3.689438
10886235,3.749438
10887420,3.577500
10888605,3.307125
10889791,2.949188
10890976,2.536875
10892162,2.100563
10893347,1.778062
10894533,1.591688
10895718,1.492125
10896904,1.518188
10898089,1.665938
10899275,1.929188
10900460,2.271000
10901646,2.693625
10902831,3.178875
10904017,3.475125
10905202,3.656438
10906388,3.695437
10907573,3.599437
10908759,3.391500
10909944,3.147938
10911129,2.856375
10912315,2.478938
10913500,2.75438
10914686,1.750875
10915871,1.537313
10917057,1.464000
10918242,1.545000
10919428,1.820438
10920613,2.88562
10921799,2.431688
10922984,2.812500
10924170,3.167063
10925355,3.415125
10926541,3.599437
10927726,3.682125
10928912,3.607687
10930097,3.399375
10931282,3.103688
10932468,2.735625
10933653,2.329313
10934839,1.959375
10936024,1.756688
10937210,1.570500
10938395,1.522500
10939581,1.590750
10940766,1.791188
10941952,2.56125
10943137,2.463375
10944323,2.926500
10945508,3.310688
10946694,3.559125
10947879,3.681188
10949065,3.663938
10950250,3.530437
10951436,3.307125
10952621,3.84188
10953806,2.694937
10954992,2.271000
10956177,1.877250
10957363,1.585500
10958548,1.414125
10959734,1.441875
10960919,1.633500
10962105,1.909688
10963290,2.240813
10964476,2.634187
10965661,3.35063
10966847,3.364687
10968032,3.591375
10969218,3.767062
10970403,3.715875
10971588,3.532500
10972774,3.245438
10973959,2.879062
10975145,2.448188
10976330,2.63062
10977516,1.777500
10978701,1.579125
10979887,1.480125
10981072,1.524562
10982258,1.698375
10983443,1.966875
10984629,2.331000
10985814,2.821500
10987000,3.208500
10988185,3.497062
10989370,3.650813
10990556,3.675375
10991741,3.547688
10992927,3.367875
10994112,3.144000
10995298,2.817000
10996483,2.413687
10997669,2.19562
10998854,1.707937
11000040,1.512938
11001225,1.466625
11002411,1.628625
11003596,1.834500
11004782,2.120812
11005967,2.465437
11007153,2.847188
11008338,3.175500
11009523,3.452438
11010709,3.657562
11011894,3.693187
11013080,3.579937
11014265,3.360188
11015451,3.50437
11016636,2.674875
11017822,2.272312
11019007,1.975688
11020193,1.706813
11021378,1.546500
11022564,1.508625
11023749,1.600312
11024935,1.781625
11026120,2.113312
11027306,2.564063
11028491,3.1312
11029676,3.350438
11030862,3.578438
11032047,3.686625
11033233,3.645937
11034418,3.504188
11035604,3.328875
11036789,3.24375
11037975,2.625562
11039160,2.188500
11040346,1.806000
11041531,1.518000
11042717,1.411312
11043902,1.495687
11045088,1.684125
11046273,1.948125
11047458,2.285438
11048644,2.688000
11049829,3.78938
11051015,3.404250
11052200,3.670875
11053386,3.766125
11054571,3.691875
11055757,3.474000
11056942,3.181500
11058128,2.790563
11059313,2.395875
11060499,2.48063
11061684,1.762500
11062870,1.557375
11064055,1.477687
11065241,1.543125
11066426,1.723312
11067611,2.14125
11068797,2.441062
11069982,2.884687
11071168,3.248438
11072353,3.502312
11073539,3.643687
11074724,3.627375
11075910,3.528000
11077095,3.366563
11078281,3.119625
11079466,2.758500
11080652,2.347875
11081837,1.965750
11083022,1.665187
11084208,1.496812
11085394,1.521188
11086579,1.662750
11087764,1.864125
11088950,2.143125
11090135,2.503313
11091321,2.871562
11092506,3.220500
11093692,3.510000
11094877,3.687750
11096063,3.681750
11097248,3.549000
11098434,3.317250
11099619,2.996625
11100805,2.619000
11101990,2.259750
11103176,1.951875
11104361,1.670812
11105546,1.504875
11106732,1.502063
11107917,1.598438
11109103,1.821563
11110288,2.191500
11111474,2.648625
11112659,3.55313
11113845,3.381562
11115030,3.601687
11116216,3.681562
11117401,3.634687
11118587,3.513188
11119772,3.315187
11120958,2.958750
11122143,2.542500
11123329,2.119313
11124514,1.735125
11125700,1.489313
11126885,1.427625
11128070,1.541438
11129256,1.715062
11130441,1.984125
11131627,2.337375
11132812,2.739375
11133998,3.130312
11135183,3.469312
11136369,3.724313
11137554,3.750000
11138740,3.645000
11139925,3.420938
11141111,3.111562
11142296,2.729813
11143482,2.358562
11144667,2.34750
11145852,1.725750
11147038,1.530000
11148223,1.476375
11149409,1.554750
11150594,1.757063
11151780,2.84250
11152965,2.539313
11154151,2.922563
11155336,3.272625
11156522,3.517688
11157707,3.627000
11158893,3.609375
11160078,3.526875
11161264,3.371438
11162449,3.67500
11163635,2.696438
11164820,2.296875
11166006,1.911375
11167191,1.629938
11168376,1.502625
11169562,1.576875
11170747,1.666125
11171933,1.877813
11173118,2.175375
11174304,2.540062
11175489,2.909063
11176675,3.290437
11177860,3.583125
11179046,3.695437
11180231,3.663750
11181417,3.517313
11182602,3.269625
11183788,2.940187
11184973,2.571938
11186159,2.258625
11187344,1.880813
11188529,1.620750
11189715,1.482000
11190900,1.483312
11192086,1.603875
11193271,1.887750
11194457,2.292562
11195642,2.711250
11196828,3.104063
11198013,3.421125
11199199,3.618937
11200384,3.674625
11201570,3.628688
11202755,3.546562
11203941,3.249938
11205126,2.886750
11206311,2.458500
11207497,2.34375
11208682,1.667625
11209868,1.487437
11211053,1.474313
11212239,1.560187
11213424,1.743937
11214610,2.30625
11215795,2.389313
11216981,2.793562
11218166,3.193125
11219352,3.572813
11220537,3.716250
11221723,3.725438
11222908,3.595500
11224094,3.363750
11225279,3.31312
11226465,2.690063
11227650,2.344875
11228835,1.981875
11230021,1.680375
11231206,1.509375
11232392,1.477500
11233577,1.573313
11234763,1.806188
11235948,2.207438
11237134,2.578875
11238319,2.964188
11239505,3.293062
11240690,3.526500
11241876,3.604687
11243061,3.615375
11244246,3.541875
11245432,3.331875
11246617,3.10125
11247803,2.631938
11248988,2.224500
11250174,1.857563
11251359,1.604063
11252545,1.565438
11253730,1.563000
11254916,1.681125
11256101,1.899188
11257287,2.213063
11258472,2.566125
11259658,2.985000
11260843,3.372188
11262029,3.614813
11263214,3.691500
11264400,3.647625
11265585,3.482063
11266770,3.219187
11267956,2.891438
11269141,2.583188
11270327,2.182875
11271512,1.823625
11272698,1.569188
11273883,1.458562
11275069,1.461750
11276254,1.644375
11277440,1.976063
11278625,2.358750
11279811,2.765813
11280996,3.151688
11282182,3.457500
11283367,3.627938
11284553,3.676125
11285738,3.678750
11286923,3.488437
11288109,3.190125
11289294,2.810437
11290480,2.385188
11291665,1.941188
11292851,1.639875
11294036,1.513500
11295222,1.490062
11296407,1.575375
11297593,1.778062
11298778,2.79562
11299964,2.441437
11301149,2.858250
11302334,3.306937
11303520,3.588375
11304705,3.718875
11305891,3.696375
11307076,3.555187
11308262,3.289313
11309447,2.989312
11310633,2.678250
11311818,2.304938
11313004,1.928250
11314189,1.642875
11315375,1.495500
11316560,1.475438
11317746,1.600688
11318931,1.907625
11320117,2.248312
11321302,2.628000
11322488,3.1312
11323673,3.314812
11324858,3.508500
11326044,3.616313
11327229,3.646125
11328415,3.532125
11329600,3.288000
11330786,2.955563
11331971,2.568000
11333157,2.159063
11334342,1.810688
11335528,1.636688
11336713,1.556813
11337899,1.567500
11339084,1.689000
11340270,1.924125
11341455,2.229750
11342640,2.628937
11343826,3.79688
11345011,3.434438
11346197,3.632062
11347382,3.690375
11348568,3.627938
11349753,3.446625
11350939,3.176625
11352124,2.890312
11353310,2.529562
11354495,2.116688
11355681,1.755750
11356866,1.531125
11358052,1.419375
11359237,1.479750
11360423,1.710375
11361608,2.46187
11362794,2.415188
11363979,2.821687
11365164,3.200625
11366350,3.482063
11367535,3.643875
11368721,3.723938
11369906,3.671062
11371092,3.448500
11372277,3.119437
11373463,2.738437
11374648,2.287688
11375834,1.889438
11377019,1.634812
11378205,1.521188
11379390,1.494187
11380576,1.595438
11381761,1.816500